Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java|class:com.rascarlo.adaptive.brightness.tile.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java|class:com.rascarlo.adaptive.brightness.tile.SettingsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java|class:com.rascarlo.adaptive.brightness.tile.SettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileJobService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileJobService.java|class:com.rascarlo.adaptive.brightness.tile.AdaptiveBrightnessTileJobService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileService.java|class:com.rascarlo.adaptive.brightness.tile.AdaptiveBrightnessTileService
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/app/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileService.java|line:84
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/BootCompletedBroadcastReceiver.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/BootCompletedBroadcastReceiver.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileService.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/AdaptiveBrightnessTileService.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/AdaptiveBrightnessTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java;file:/src/main/java/com/rascarlo/adaptive/brightness/tile/SettingsFragment.java
