Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java|class:net.gsantner.opoc.util.ShareUtil
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java|class:net.gsantner.opoc.util.ShareUtil
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java|class:net.gsantner.opoc.util.ShareUtil
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ShareUtil.java|class:net.gsantner.opoc.util.ShareUtil
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/NetworkUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/NetworkUtils.java|class:net.gsantner.opoc.util.NetworkUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/NetworkUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/NetworkUtils.java|class:net.gsantner.opoc.util.NetworkUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/FileUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/FileUtils.java|class:net.gsantner.opoc.util.FileUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/FileUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/FileUtils.java|class:net.gsantner.opoc.util.FileUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/PermissionChecker.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/PermissionChecker.java|class:net.gsantner.opoc.util.PermissionChecker
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/PermissionChecker.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/PermissionChecker.java|class:net.gsantner.opoc.util.PermissionChecker
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/Callback.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/Callback.java|class:net.gsantner.opoc.util.Callback
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/AdBlock.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/AdBlock.java|class:net.gsantner.opoc.util.AdBlock
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/AdBlock.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/AdBlock.java|class:net.gsantner.opoc.util.AdBlock
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java|class:net.gsantner.opoc.util.ContextUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java|class:net.gsantner.opoc.util.ContextUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ContextUtils.java|class:net.gsantner.opoc.util.ContextUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ActivityUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/ActivityUtils.java|class:net.gsantner.opoc.util.ActivityUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/DownloadTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/util/DownloadTask.java|class:net.gsantner.opoc.util.DownloadTask
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/activity/GsFragmentBase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/activity/GsFragmentBase.java|class:net.gsantner.opoc.activity.GsFragmentBase
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/activity/GsFragmentBase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/activity/GsFragmentBase.java|class:net.gsantner.opoc.activity.GsFragmentBase
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/SharedPreferencesPropertyBackend.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/SharedPreferencesPropertyBackend.java|class:net.gsantner.opoc.preference.SharedPreferencesPropertyBackend
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/SharedPreferencesPropertyBackend.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/SharedPreferencesPropertyBackend.java|class:net.gsantner.opoc.preference.SharedPreferencesPropertyBackend
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/nonsupport/LanguagePreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/nonsupport/LanguagePreference.java|class:net.gsantner.opoc.preference.nonsupport.LanguagePreference
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/nonsupport/LanguagePreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/preference/nonsupport/LanguagePreference.java|class:net.gsantner.opoc.preference.nonsupport.LanguagePreference
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/format/markdown/SimpleMarkdownParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/format/markdown/SimpleMarkdownParser.java|class:net.gsantner.opoc.format.markdown.SimpleMarkdownParser
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/format/markdown/SimpleMarkdownParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/net/gsantner/opoc/format/markdown/SimpleMarkdownParser.java|class:net.gsantner.opoc.format.markdown.SimpleMarkdownParser
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemedPreferenceCategory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemedPreferenceCategory.java|class:com.github.dfa.hubzilla_android.ui.theme.ThemedPreferenceCategory
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemeHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemeHelper.java|class:com.github.dfa.hubzilla_android.ui.theme.ThemeHelper
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemeHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemeHelper.java|class:com.github.dfa.hubzilla_android.ui.theme.ThemeHelper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemedAlertDialogBuilder.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemedAlertDialogBuilder.java|class:com.github.dfa.hubzilla_android.ui.theme.ThemedAlertDialogBuilder
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub;/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemedCheckBoxPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AndHub/app/src/main/java/com/github/dfa/hubzilla_android/ui/theme/ThemedCheckBoxPreference.java|class:com.github.dfa.hubzilla_android.ui.theme.ThemedCheckBoxPreference
