Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/HelpActivity.java|class:com.quaap.audiometer.HelpActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/AboutActivity.java|class:com.quaap.audiometer.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java|class:com.quaap.audiometer.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java|class:com.quaap.audiometer.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java|class:com.quaap.audiometer.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MicLevelReader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MicLevelReader.java|class:com.quaap.audiometer.MicLevelReader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MeterView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MeterView.java|class:com.quaap.audiometer.MeterView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MeterView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MeterView.java|class:com.quaap.audiometer.MeterView
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java|line:55
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/AudioMeter/app/src/main/java/com/quaap/audiometer/MainActivity.java|line:58
