Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/AppCompatPreferenceActivity.java|class:org.bienvenidoainternet.app.AppCompatPreferenceActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/AppCompatPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/AppCompatPreferenceActivity.java|class:org.bienvenidoainternet.app.AppCompatPreferenceActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/MainActivity.java|class:org.bienvenidoainternet.app.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/MainActivity.java|class:org.bienvenidoainternet.app.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/MainActivity.java|class:org.bienvenidoainternet.app.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ThreadListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ThreadListAdapter.java|class:org.bienvenidoainternet.app.ThreadListAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ThreadListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ThreadListAdapter.java|class:org.bienvenidoainternet.app.ThreadListAdapter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java|class:org.bienvenidoainternet.app.ResponseActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java|class:org.bienvenidoainternet.app.ResponseActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java|class:org.bienvenidoainternet.app.ResponseActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ResponseActivity.java|class:org.bienvenidoainternet.app.ResponseActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java|class:org.bienvenidoainternet.app.ViewerActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java|class:org.bienvenidoainternet.app.ViewerActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java|class:org.bienvenidoainternet.app.ViewerActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaiApp/app/src/main/java/org/bienvenidoainternet/app/ViewerActivity.java|class:org.bienvenidoainternet.app.ViewerActivity
