Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/AppsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/AppsActivity.java|class:com.bald.uriah.baldphone.activities.AppsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/AppsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/AppsActivity.java|class:com.bald.uriah.baldphone.activities.AppsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/FakeLauncherActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/FakeLauncherActivity.java|class:com.bald.uriah.baldphone.activities.FakeLauncherActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/Page1EditorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/Page1EditorActivity.java|class:com.bald.uriah.baldphone.activities.Page1EditorActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/SOSActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/SOSActivity.java|class:com.bald.uriah.baldphone.activities.SOSActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/SOSActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/SOSActivity.java|class:com.bald.uriah.baldphone.activities.SOSActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/HomeScreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/HomeScreenActivity.java|class:com.bald.uriah.baldphone.activities.HomeScreenActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/HomeScreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/HomeScreenActivity.java|class:com.bald.uriah.baldphone.activities.HomeScreenActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/HomeScreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/HomeScreenActivity.java|class:com.bald.uriah.baldphone.activities.HomeScreenActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/RecentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BaldPhone/app/src/main/java/com/bald/uriah/baldphone/activities/RecentActivity.java|class:com.bald.uriah.baldphone.activities.RecentActivity
