Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfoService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfoService.java|class:com.darshancomputing.BatteryIndicator.BatteryInfoService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfoService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfoService.java|class:com.darshancomputing.BatteryIndicator.BatteryInfoService
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfoService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfoService.java|class:com.darshancomputing.BatteryIndicator.BatteryInfoService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/HelpActivity.java|class:com.darshancomputing.BatteryIndicator.HelpActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/HelpActivity.java|class:com.darshancomputing.BatteryIndicator.HelpActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/HelpActivity.java|class:com.darshancomputing.BatteryIndicator.HelpActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfo.java|class:com.darshancomputing.BatteryIndicator.BatteryInfo
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfo.java|class:com.darshancomputing.BatteryIndicator.BatteryInfo
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/BatteryInfo.java|class:com.darshancomputing.BatteryIndicator.BatteryInfo
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicator/SettingsFragment.java|class:com.darshancomputing.BatteryIndicator.SettingsFragment
