Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/HelpActivity.java|class:com.darshancomputing.BatteryIndicatorPro.HelpActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/HelpActivity.java|class:com.darshancomputing.BatteryIndicatorPro.HelpActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/HelpActivity.java|class:com.darshancomputing.BatteryIndicatorPro.HelpActivity
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java|class:com.darshancomputing.BatteryIndicatorPro.BatteryIndicator
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java|class:com.darshancomputing.BatteryIndicatorPro.BatteryIndicator
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java|class:com.darshancomputing.BatteryIndicatorPro.BatteryIndicator
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java|class:com.darshancomputing.BatteryIndicatorPro.BatteryIndicator
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java|class:com.darshancomputing.BatteryIndicatorPro.BatteryIndicator
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/BatteryIndicator.java|class:com.darshancomputing.BatteryIndicatorPro.BatteryIndicator
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free;/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/MainWindowTheme.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Battery-Indicator-Free/src/com/darshancomputing/BatteryIndicatorPro/MainWindowTheme.java|class:com.darshancomputing.BatteryIndicatorPro.MainWindowTheme
