Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/AboutActivity.java|class:com.rigid.birthdroid.AboutActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java|class:com.rigid.birthdroid.BirthdroidActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java|class:com.rigid.birthdroid.BirthdroidActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java|class:com.rigid.birthdroid.BirthdroidActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidActivity.java|class:com.rigid.birthdroid.BirthdroidActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/Birthdays.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/Birthdays.java|class:com.rigid.birthdroid.Birthdays
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/Birthdays.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/Birthdays.java|class:com.rigid.birthdroid.Birthdays
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/Settings.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/Settings.java|class:com.rigid.birthdroid.Settings
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/PreferencesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/PreferencesActivity.java|class:com.rigid.birthdroid.PreferencesActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/PreferencesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/PreferencesActivity.java|class:com.rigid.birthdroid.PreferencesActivity
RigidAlarmManager;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidWidget.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Birthdroid/app/src/main/java/com/rigid/birthdroid/BirthdroidWidget.java|class:com.rigid.birthdroid.BirthdroidWidget
