Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/QueryUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/QueryUtils.java|class:com.example.booklistingapk.QueryUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/QueryUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/QueryUtils.java|class:com.example.booklistingapk.QueryUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java|class:com.example.booklistingapk.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java|class:com.example.booklistingapk.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/BookLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/BookLoader.java|class:com.example.booklistingapk.BookLoader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/BookAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/BookAdapter.java|class:com.example.booklistingapk.BookAdapter
InsufficientStringBufferDeclaration;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java|line:103
UselessStringValueOf;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/app/src/main/java/com/example/booklistingapk/MainActivity.java|line:134
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/src/main/java/com/example/booklistingapk/MainActivity.java;file:/src/main/java/com/example/booklistingapk/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/src/main/java/com/example/booklistingapk/BookLoader.java;file:/src/main/java/com/example/booklistingapk/BookLoader.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/src/main/java/com/example/booklistingapk/BookAdapter.java;file:/src/main/java/com/example/booklistingapk/BookAdapter.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/src/main/java/com/example/booklistingapk/QueryUtils.java;file:/src/main/java/com/example/booklistingapk/QueryUtils.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/src/main/java/com/example/booklistingapk/MainActivity.java;file:/src/main/java/com/example/booklistingapk/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;/src/main/java/com/example/booklistingapk/MainActivity.java;file:/src/main/java/com/example/booklistingapk/MainActivity.java
UnreadField;SpotBugs;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;com/example/booklistingapk/BookAdapter.java;file:com/example/booklistingapk/BookAdapter.java|line:36
IPCOnUIThread;Infer;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;app/src/main/java/com/example/booklistingapk/MainActivity.java;file:app/src/main/java/com/example/booklistingapk/MainActivity.java|line:48
IPCOnUIThread;Infer;/Users/rar9993/repos/research/fdroid_apps/native_apps/BookListingApp/NONE_TRANSFORMED_;app/src/main/java/com/example/booklistingapk/MainActivity.java;file:app/src/main/java/com/example/booklistingapk/MainActivity.java|line:65
