Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ScaledBitmapCache.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ScaledBitmapCache.java|class:com.dozingcatsoftware.util.ScaledBitmapCache
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ScaledBitmapCache.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ScaledBitmapCache.java|class:com.dozingcatsoftware.util.ScaledBitmapCache
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ARManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ARManager.java|class:com.dozingcatsoftware.util.ARManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ARManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ARManager.java|class:com.dozingcatsoftware.util.ARManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/FrameRateManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/FrameRateManager.java|class:com.dozingcatsoftware.util.FrameRateManager
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/FrameRateManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/FrameRateManager.java|class:com.dozingcatsoftware.util.FrameRateManager
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ShutterButton.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ShutterButton.java|class:com.dozingcatsoftware.util.ShutterButton
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ShutterButton.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ShutterButton.java|class:com.dozingcatsoftware.util.ShutterButton
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ShutterButton.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/ShutterButton.java|class:com.dozingcatsoftware.util.ShutterButton
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/CameraUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/CamTimer/app/src/main/java/com/dozingcatsoftware/util/CameraUtils.java|class:com.dozingcatsoftware.util.CameraUtils
