Issue;Tool;Project;File;Location
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/HelpActivity.java|class:com.color.colornamer.HelpActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/Preview.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/Preview.java|class:com.color.colornamer.Preview
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/Preview.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/Preview.java|class:com.color.colornamer.Preview
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/Preview.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/Preview.java|class:com.color.colornamer.Preview
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorViewDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorViewDialog.java|class:com.color.colornamer.ColorViewDialog
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorViewDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorViewDialog.java|class:com.color.colornamer.ColorViewDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorViewDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorViewDialog.java|class:com.color.colornamer.ColorViewDialog
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/OutlineDrawableView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/OutlineDrawableView.java|class:com.color.colornamer.OutlineDrawableView
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/InfoActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/InfoActivity.java|class:com.color.colornamer.InfoActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ColorNamer/app/src/main/java/com/color/colornamer/ColorData.java|class:com.color.colornamer.ColorData
