File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDemonActivity.java",com.quaap.computationaldemonology.GraphicDemonActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/MainActivity.java",com.quaap.computationaldemonology.MainActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java",com.quaap.computationaldemonology.GraphicDmn,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java",com.quaap.computationaldemonology.util.Rand,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/SawSynth.java",com.quaap.computationaldemonology.synth.SawSynth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/StaticFilter.java",com.quaap.computationaldemonology.synth.StaticFilter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Notes.java",com.quaap.computationaldemonology.synth.Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Synth.java",com.quaap.computationaldemonology.synth.Synth,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/AmbilectricSynth.java",com.quaap.computationaldemonology.synth.AmbilectricSynth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/StaticSynth.java",com.quaap.computationaldemonology.synth.StaticSynth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/MultiToneSynth.java",com.quaap.computationaldemonology.synth.MultiToneSynth,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Filter.java",com.quaap.computationaldemonology.synth.Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
