Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDemonActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDemonActivity.java|class:com.quaap.computationaldemonology.GraphicDemonActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDemonActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDemonActivity.java|class:com.quaap.computationaldemonology.GraphicDemonActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/MainActivity.java|class:com.quaap.computationaldemonology.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/MainActivity.java|class:com.quaap.computationaldemonology.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java|class:com.quaap.computationaldemonology.GraphicDmn
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java|class:com.quaap.computationaldemonology.GraphicDmn
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/GraphicDmn.java|class:com.quaap.computationaldemonology.GraphicDmn
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java|class:com.quaap.computationaldemonology.util.Rand
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java|class:com.quaap.computationaldemonology.util.Rand
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/util/Rand.java|class:com.quaap.computationaldemonology.util.Rand
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/SawSynth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/SawSynth.java|class:com.quaap.computationaldemonology.synth.SawSynth
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/StaticFilter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/StaticFilter.java|class:com.quaap.computationaldemonology.synth.StaticFilter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Notes.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Notes.java|class:com.quaap.computationaldemonology.synth.Notes
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Synth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Synth.java|class:com.quaap.computationaldemonology.synth.Synth
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Synth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/Synth.java|class:com.quaap.computationaldemonology.synth.Synth
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/AmbilectricSynth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/AmbilectricSynth.java|class:com.quaap.computationaldemonology.synth.AmbilectricSynth
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/StaticSynth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/StaticSynth.java|class:com.quaap.computationaldemonology.synth.StaticSynth
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/MultiToneSynth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/MultiToneSynth.java|class:com.quaap.computationaldemonology.synth.MultiToneSynth
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/MultiToneSynth.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/synth/MultiToneSynth.java|class:com.quaap.computationaldemonology.synth.MultiToneSynth
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/functions/BarbedRing.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/functions/BarbedRing.java|class:com.quaap.computationaldemonology.functions.BarbedRing
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/functions/Awaken.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/functions/Awaken.java|class:com.quaap.computationaldemonology.functions.Awaken
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/functions/Ring.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ComputationalDemonology/app/src/main/java/com/quaap/computationaldemonology/functions/Ring.java|class:com.quaap.computationaldemonology.functions.Ring
