File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/androidTest/java/cc/echonet/coolmicapp/test/MainActivityBasicTest.java",cc.echonet.coolmicapp.test.MainActivityBasicTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicdspjava/Wrapper.java",cc.echonet.coolmicdspjava.Wrapper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicdspjava/VUMeterResult.java",cc.echonet.coolmicdspjava.VUMeterResult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicdspjava/WrapperConstants.java",cc.echonet.coolmicdspjava.WrapperConstants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicdspjava/InputStreamAdapter.java",cc.echonet.coolmicdspjava.InputStreamAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicdspjava/CallbackHandler.java",cc.echonet.coolmicdspjava.CallbackHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/VerticalSeekBar.java",cc.echonet.coolmicapp.VerticalSeekBar,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/FileFormatDetector.java",cc.echonet.coolmicapp.FileFormatDetector,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/StationMetadataDialog.java",cc.echonet.coolmicapp.StationMetadataDialog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/TrackMetadataDialog.java",cc.echonet.coolmicapp.TrackMetadataDialog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/AboutActivity.java",cc.echonet.coolmicapp.AboutActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/MainActivity.java",cc.echonet.coolmicapp.MainActivity,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/Utils.java",cc.echonet.coolmicapp.Utils,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/Dialog.java",cc.echonet.coolmicapp.Dialog,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/CoolMicApp-Android/app/src/main/java/cc/echonet/coolmicapp/CMTS.java",cc.echonet.coolmicapp.CMTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
