Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/MainActivity.java|class:amirz.dngprocessor.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/MainActivity.java|class:amirz.dngprocessor.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/MainActivity.java|class:amirz.dngprocessor.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/library/settings/GlobalPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/library/settings/GlobalPreferences.java|class:amirz.library.settings.GlobalPreferences
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/library/settings/GlobalPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/library/settings/GlobalPreferences.java|class:amirz.library.settings.GlobalPreferences
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/library/settings/GlobalPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/library/settings/GlobalPreferences.java|class:amirz.library.settings.GlobalPreferences
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/Stage.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/Stage.java|class:amirz.dngprocessor.pipeline.Stage
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/StagePipeline.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/StagePipeline.java|class:amirz.dngprocessor.pipeline.StagePipeline
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/StagePipeline.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/StagePipeline.java|class:amirz.dngprocessor.pipeline.StagePipeline
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/post/BlurLCE.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DNGProcessor/app/src/main/java/amirz/dngprocessor/pipeline/post/BlurLCE.java|class:amirz.dngprocessor.pipeline.post.BlurLCE
