Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/StringUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/StringUtils.java|class:chan.util.StringUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/StringUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/StringUtils.java|class:chan.util.StringUtils
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/StringUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/StringUtils.java|class:chan.util.StringUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/CommonUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/CommonUtils.java|class:chan.util.CommonUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/DataFile.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/DataFile.java|class:chan.util.DataFile
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/DataFile.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/util/DataFile.java|class:chan.util.DataFile
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ApiException.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ApiException.java|class:chan.content.ApiException
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ApiException.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ApiException.java|class:chan.content.ApiException
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/Chan.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/Chan.java|class:chan.content.Chan
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanMarkup.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanMarkup.java|class:chan.content.ChanMarkup
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanMarkup.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanMarkup.java|class:chan.content.ChanMarkup
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanMarkup.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanMarkup.java|class:chan.content.ChanMarkup
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java|class:chan.content.ChanConfiguration
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java|class:chan.content.ChanConfiguration
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java|class:chan.content.ChanConfiguration
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanConfiguration.java|class:chan.content.ChanConfiguration
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanPerformer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanPerformer.java|class:chan.content.ChanPerformer
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanPerformer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanPerformer.java|class:chan.content.ChanPerformer
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanPerformer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanPerformer.java|class:chan.content.ChanPerformer
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanManager.java|class:chan.content.ChanManager
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanManager.java|class:chan.content.ChanManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanManager.java|class:chan.content.ChanManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanLocator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanLocator.java|class:chan.content.ChanLocator
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanLocator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/ChanLocator.java|class:chan.content.ChanLocator
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Post.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Post.java|class:chan.content.model.Post
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Post.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Post.java|class:chan.content.model.Post
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Posts.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Posts.java|class:chan.content.model.Posts
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Posts.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Dashchan/src/chan/content/model/Posts.java|class:chan.content.model.Posts
