Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/SplashScreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/SplashScreenActivity.java|class:com.diolinux.ui.SplashScreenActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/MainActivity.java|class:com.diolinux.ui.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/MainActivity.java|class:com.diolinux.ui.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/app/src/main/java/com/diolinux/ui/MainActivity.java|class:com.diolinux.ui.MainActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/src/main/java/com/diolinux/ui/SplashScreenActivity.java;file:/src/main/java/com/diolinux/ui/SplashScreenActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/src/main/java/com/diolinux/ui/MainActivity.java;file:/src/main/java/com/diolinux/ui/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/src/main/java/com/diolinux/ui/SplashScreenActivity.java;file:/src/main/java/com/diolinux/ui/SplashScreenActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/src/main/java/com/diolinux/ui/MainActivity.java;file:/src/main/java/com/diolinux/ui/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/src/main/java/com/diolinux/ui/SplashScreenActivity.java;file:/src/main/java/com/diolinux/ui/SplashScreenActivity.java
ObsoleteLayoutParam;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/layout/activity_main.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/layout/activity_main.xml|line:29
Overdraw;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/layout/activity_splash_screen.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/layout/activity_splash_screen.xml|line:4
Overdraw;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/layout/item_toolbar.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/layout/item_toolbar.xml|line:7
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/mipmap-hdpi/ic_launcher.png;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DiolinuxApp/NONE_TRANSFORMED_/app/src/main/res/mipmap-hdpi/ic_launcher.png
