Issue;Tool;Project;File;Location
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/ConfigXmlParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/ConfigXmlParser.java|line:66
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/ConfigXmlParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/ConfigXmlParser.java|line:68
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaActivity.java|line:84
AddEmptyString;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaBridge.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaBridge.java|line:176
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaInterfaceImpl.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaInterfaceImpl.java|line:49
AddEmptyString;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaPreferences.java|line:44
AddEmptyString;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaPreferences.java|line:48
AddEmptyString;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaPreferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaPreferences.java|line:52
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java|line:150
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Diolite-android/CordovaLib/src/org/apache/cordova/CordovaResourceApi.java|line:249
