Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/TestUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/TestUtils.java|class:com.nagopy.android.disablemanager2.TestUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/TestUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/TestUtils.java|class:com.nagopy.android.disablemanager2.TestUtils
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java|class:com.nagopy.android.disablemanager2.MainActivityTestCase
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java|class:com.nagopy.android.disablemanager2.MainActivityTestCase
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java|class:com.nagopy.android.disablemanager2.MainActivityTestCase
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/uiautomator/src/main/java/com/nagopy/android/disablemanager2/MainActivityTestCase.java|class:com.nagopy.android.disablemanager2.MainActivityTestCase
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/AboutActivity.java|class:com.nagopy.android.disablemanager2.AboutActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/MainActivity.java|class:com.nagopy.android.disablemanager2.MainActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/MainActivity.java|class:com.nagopy.android.disablemanager2.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/DisableManager/app/src/main/java/com/nagopy/android/disablemanager2/MainActivity.java|class:com.nagopy.android.disablemanager2.MainActivity
