Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/NavigationAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/NavigationAdapter.java|class:ca.littlesvr.everyonestimetable.NavigationAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/NavigationAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/NavigationAdapter.java|class:ca.littlesvr.everyonestimetable.NavigationAdapter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/ShowHistoryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/ShowHistoryActivity.java|class:ca.littlesvr.everyonestimetable.ShowHistoryActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/ShowHistoryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/ShowHistoryActivity.java|class:ca.littlesvr.everyonestimetable.ShowHistoryActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/ShowHistoryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/ShowHistoryActivity.java|class:ca.littlesvr.everyonestimetable.ShowHistoryActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/School.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/School.java|class:ca.littlesvr.everyonestimetable.School
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java|class:ca.littlesvr.everyonestimetable.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java|class:ca.littlesvr.everyonestimetable.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java|class:ca.littlesvr.everyonestimetable.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/EveryonesTimetable/app/src/main/java/ca/littlesvr/everyonestimetable/MainActivity.java|class:ca.littlesvr.everyonestimetable.MainActivity
