Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/FPListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/FPListView.java|class:com.example.gabm.fancyplaces.FPListView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/FPListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/FPListView.java|class:com.example.gabm.fancyplaces.FPListView
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/FPListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/FPListView.java|class:com.example.gabm.fancyplaces.FPListView
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/WorkaroundMapFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/WorkaroundMapFragment.java|class:com.example.gabm.fancyplaces.WorkaroundMapFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/WorkaroundMapFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/WorkaroundMapFragment.java|class:com.example.gabm.fancyplaces.WorkaroundMapFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java|class:com.example.gabm.fancyplaces.LocationHandler
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java|class:com.example.gabm.fancyplaces.LocationHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java|class:com.example.gabm.fancyplaces.LocationHandler
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/LocationHandler.java|class:com.example.gabm.fancyplaces.LocationHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/OnFancyPlaceSelectedListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/example/gabm/fancyplaces/OnFancyPlaceSelectedListener.java|class:com.example.gabm.fancyplaces.OnFancyPlaceSelectedListener
