Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPListView.java|class:com.gabm.fancyplaces.ui.FPListView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPListView.java|class:com.gabm.fancyplaces.ui.FPListView
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/LFPState.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/LFPState.java|class:com.gabm.fancyplaces.ui.LFPState
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/LFPState.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/LFPState.java|class:com.gabm.fancyplaces.ui.LFPState
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/ListViewItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/ListViewItem.java|class:com.gabm.fancyplaces.ui.ListViewItem
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/ListViewItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/ListViewItem.java|class:com.gabm.fancyplaces.ui.ListViewItem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/ListViewItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/ListViewItem.java|class:com.gabm.fancyplaces.ui.ListViewItem
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPOsmDroidView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPOsmDroidView.java|class:com.gabm.fancyplaces.ui.FPOsmDroidView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPOsmDroidView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/FPOsmDroidView.java|class:com.gabm.fancyplaces.ui.FPOsmDroidView
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabLayout.java|class:com.gabm.fancyplaces.ui.SlidingTabLayout
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabLayout.java|class:com.gabm.fancyplaces.ui.SlidingTabLayout
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabLayout.java|class:com.gabm.fancyplaces.ui.SlidingTabLayout
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/OsmMarker.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/OsmMarker.java|class:com.gabm.fancyplaces.ui.OsmMarker
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/TabItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/TabItem.java|class:com.gabm.fancyplaces.ui.TabItem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabStrip.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SlidingTabStrip.java|class:com.gabm.fancyplaces.ui.SlidingTabStrip
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SEPState.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SEPState.java|class:com.gabm.fancyplaces.ui.SEPState
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SEPState.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/SEPState.java|class:com.gabm.fancyplaces.ui.SEPState
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/MainWindow.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FancyPlaces/app/src/main/java/com/gabm/fancyplaces/ui/MainWindow.java|class:com.gabm.fancyplaces.ui.MainWindow
