Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/BakedBezierInterpolator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/BakedBezierInterpolator.java|class:org.decsync.flym.ui.views.BakedBezierInterpolator
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java|class:org.decsync.flym.ui.views.SwipeRefreshLayout
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java|class:org.decsync.flym.ui.views.SwipeRefreshLayout
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java|line:72
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java|line:77
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java|line:85
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java;file:/src/main/java/org/decsync/flym/ui/views/SwipeRefreshLayout.java
SpreadOperator;Detekt;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/main/MainActivity.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/ui/main/MainActivity.kt|line:625
SpreadOperator;Detekt;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/service/FetcherService.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/service/FetcherService.kt|line:273
SpreadOperator;Detekt;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/service/FetcherService.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/service/FetcherService.kt|line:280
SpreadOperator;Detekt;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/service/FetcherService.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/service/FetcherService.kt|line:498
SpreadOperator;Detekt;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/utils/StringExtensions.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/utils/StringExtensions.kt|line:25
SpreadOperator;Detekt;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/data/entities/Feed.kt;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Flym-DecSync/app/src/main/java/org/decsync/flym/data/entities/Feed.kt|line:76
