Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/AboutUs.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/AboutUs.java|class:br.com.mochiladepano.foodrestrictions.AboutUs
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodIconItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodIconItem.java|class:br.com.mochiladepano.foodrestrictions.FoodIconItem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MainActivity.java|class:br.com.mochiladepano.foodrestrictions.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MainActivity.java|class:br.com.mochiladepano.foodrestrictions.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessagesTab.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessagesTab.java|class:br.com.mochiladepano.foodrestrictions.MessagesTab
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessagesTab.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessagesTab.java|class:br.com.mochiladepano.foodrestrictions.MessagesTab
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessageCannibal.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessageCannibal.java|class:br.com.mochiladepano.foodrestrictions.MessageCannibal
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodIconList.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodIconList.java|class:br.com.mochiladepano.foodrestrictions.FoodIconList
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessageVegetarian.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/MessageVegetarian.java|class:br.com.mochiladepano.foodrestrictions.MessageVegetarian
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodIconGrid.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodIconGrid.java|class:br.com.mochiladepano.foodrestrictions.FoodIconGrid
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions;/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodImageAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/FoodRestrictions/app/src/main/java/br/com/mochiladepano/foodrestrictions/FoodImageAdapter.java|class:br.com.mochiladepano.foodrestrictions.FoodImageAdapter
