Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/webview/WebViewHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/webview/WebViewHelper.java|class:com.kaeruct.gotosleep.webview.WebViewHelper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/webview/WebViewHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/webview/WebViewHelper.java|class:com.kaeruct.gotosleep.webview.WebViewHelper
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/MainActivity.java|class:com.kaeruct.gotosleep.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java|class:com.kaeruct.gotosleep.Constants
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java|line:8
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java|line:14
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/Constants.java|line:20
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/ui/UIManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/app/src/main/java/com/kaeruct/gotosleep/ui/UIManager.java|line:30
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/src/main/java/com/kaeruct/gotosleep/webview/WebViewHelper.java;file:/src/main/java/com/kaeruct/gotosleep/webview/WebViewHelper.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Go-To-Sleep-Android/NONE_TRANSFORMED_;/src/main/java/com/kaeruct/gotosleep/MainActivity.java;file:/src/main/java/com/kaeruct/gotosleep/MainActivity.java
