Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmHumHanumate.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmHumHanumate.java|class:com.github.niccokunzmann.hanumanchalisa.OmHumHanumate
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmHumHanumate.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmHumHanumate.java|class:com.github.niccokunzmann.hanumanchalisa.OmHumHanumate
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ActivityRecreationHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ActivityRecreationHelper.java|class:com.github.niccokunzmann.hanumanchalisa.ActivityRecreationHelper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmAnjaneyaMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmAnjaneyaMantra.java|class:com.github.niccokunzmann.hanumanchalisa.OmAnjaneyaMantra
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmAnjaneyaMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmAnjaneyaMantra.java|class:com.github.niccokunzmann.hanumanchalisa.OmAnjaneyaMantra
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/SaiBabaMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/SaiBabaMantra.java|class:com.github.niccokunzmann.hanumanchalisa.SaiBabaMantra
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeKrishnaMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeKrishnaMantra.java|class:com.github.niccokunzmann.hanumanchalisa.ShreeKrishnaMantra
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MainActivity.java|class:com.github.niccokunzmann.hanumanchalisa.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MainActivity.java|class:com.github.niccokunzmann.hanumanchalisa.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamDutayaNamah.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamDutayaNamah.java|class:com.github.niccokunzmann.hanumanchalisa.ShreeRamDutayaNamah
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamDutayaNamah.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamDutayaNamah.java|class:com.github.niccokunzmann.hanumanchalisa.ShreeRamDutayaNamah
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShaniMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShaniMantra.java|class:com.github.niccokunzmann.hanumanchalisa.ShaniMantra
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MantraList.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MantraList.java|class:com.github.niccokunzmann.hanumanchalisa.MantraList
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MantraList.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/MantraList.java|class:com.github.niccokunzmann.hanumanchalisa.MantraList
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamMantra.java|class:com.github.niccokunzmann.hanumanchalisa.ShreeRamMantra
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/ShreeRamMantra.java|class:com.github.niccokunzmann.hanumanchalisa.ShreeRamMantra
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmNamahShivayaMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/OmNamahShivayaMantra.java|class:com.github.niccokunzmann.hanumanchalisa.OmNamahShivayaMantra
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/BaseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/BaseActivity.java|class:com.github.niccokunzmann.hanumanchalisa.BaseActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/BaseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/BaseActivity.java|class:com.github.niccokunzmann.hanumanchalisa.BaseActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/BaseActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/BaseActivity.java|class:com.github.niccokunzmann.hanumanchalisa.BaseActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/HanumanMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/HanumanMantra.java|class:com.github.niccokunzmann.hanumanchalisa.HanumanMantra
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/HanumanMantra.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/HanumanMantra.java|class:com.github.niccokunzmann.hanumanchalisa.HanumanMantra
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/HanumanChalisa.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HanumanChalisa/app/src/main/java/com/github/niccokunzmann/hanumanchalisa/HanumanChalisa.java|class:com.github.niccokunzmann.hanumanchalisa.HanumanChalisa
