Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java|class:com.eneko.hexcolortimewallpaper.Wallpaper
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java|class:com.eneko.hexcolortimewallpaper.Wallpaper
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java|class:com.eneko.hexcolortimewallpaper.Wallpaper
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Preferences.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Preferences.java|class:com.eneko.hexcolortimewallpaper.Preferences
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java|class:com.eneko.hexcolortimewallpaper.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/TextSizePreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/TextSizePreference.java|class:com.eneko.hexcolortimewallpaper.TextSizePreference
AvoidCalendarDateCreation;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/app/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java|line:130
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/Wallpaper.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/Preferences.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/Preferences.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/TextSizePreference.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/TextSizePreference.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/Preferences.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/Preferences.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/HexColorTime/NONE_TRANSFORMED_;/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java;file:/src/main/java/com/eneko/hexcolortimewallpaper/MainActivity.java
