Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/OnboardingActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/OnboardingActivity.java|class:news.androidtv.launchonboot.OnboardingActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/MainActivity.java|class:news.androidtv.launchonboot.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/MainActivity.java|class:news.androidtv.launchonboot.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/MainActivity.java|class:news.androidtv.launchonboot.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/OnboardingFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/OnboardingFragment.java|class:news.androidtv.launchonboot.OnboardingFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/DreamListenerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/DreamListenerService.java|class:news.androidtv.launchonboot.DreamListenerService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/DreamListenerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/DreamListenerService.java|class:news.androidtv.launchonboot.DreamListenerService
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/BootReceiver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/app/src/main/java/news/androidtv/launchonboot/BootReceiver.java|line:22
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/src/main/java/news/androidtv/launchonboot/OnboardingActivity.java;file:/src/main/java/news/androidtv/launchonboot/OnboardingActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/Launch-On-Boot/NONE_TRANSFORMED_;/src/main/java/news/androidtv/launchonboot/MainActivity.java;file:/src/main/java/news/androidtv/launchonboot/MainActivity.java
