Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java|class:de.baumann.hhsmoodle.Activity_Settings
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/GridAdapter_Menu.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/GridAdapter_Menu.java|class:de.baumann.hhsmoodle.GridAdapter_Menu
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/GridAdapter_Menu.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/GridAdapter_Menu.java|class:de.baumann.hhsmoodle.GridAdapter_Menu
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/WebViewWithTouchEvents.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/WebViewWithTouchEvents.java|class:de.baumann.hhsmoodle.WebViewWithTouchEvents
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java|class:de.baumann.hhsmoodle.Activity_Main
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java|class:de.baumann.hhsmoodle.Activity_Main
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java|class:de.baumann.hhsmoodle.Activity_Main
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/SwipeTouchListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/SwipeTouchListener.java|class:de.baumann.hhsmoodle.SwipeTouchListener
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/SwipeTouchListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/SwipeTouchListener.java|class:de.baumann.hhsmoodle.SwipeTouchListener
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Class_Helper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Class_Helper.java|class:de.baumann.hhsmoodle.Class_Helper
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Bookmarks_Database.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Bookmarks_Database.java|class:de.baumann.hhsmoodle.Bookmarks_Database
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java|line:307
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java|line:475
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Activity_Main.java|line:688
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Bookmarks_Database.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/app/src/main/java/de/baumann/hhsmoodle/Bookmarks_Database.java|line:100
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/GridAdapter_Menu.java;file:/src/main/java/de/baumann/hhsmoodle/GridAdapter_Menu.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Main.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/SwipeTouchListener.java;file:/src/main/java/de/baumann/hhsmoodle/SwipeTouchListener.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Bookmarks_Database.java;file:/src/main/java/de/baumann/hhsmoodle/Bookmarks_Database.java
LeakingThread;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java
LeakingThread;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Class_Helper.java;file:/src/main/java/de/baumann/hhsmoodle/Class_Helper.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Main.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Settings.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/MebisApp/NONE_TRANSFORMED_;/src/main/java/de/baumann/hhsmoodle/Activity_Main.java;file:/src/main/java/de/baumann/hhsmoodle/Activity_Main.java
