Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/TodoNotificationService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/TodoNotificationService.java|class:com.example.avjindersinghsekhon.minimaltodo.TodoNotificationService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/TodoNotificationService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/TodoNotificationService.java|class:com.example.avjindersinghsekhon.minimaltodo.TodoNotificationService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ScrollingFABBehaviour.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ScrollingFABBehaviour.java|class:com.example.avjindersinghsekhon.minimaltodo.ScrollingFABBehaviour
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ToDoItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ToDoItem.java|class:com.example.avjindersinghsekhon.minimaltodo.ToDoItem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/CustomTextInputLayout.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/CustomTextInputLayout.java|class:com.example.avjindersinghsekhon.minimaltodo.CustomTextInputLayout
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/StoreRetrieveData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/StoreRetrieveData.java|class:com.example.avjindersinghsekhon.minimaltodo.StoreRetrieveData
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AboutActivity.java|class:com.example.avjindersinghsekhon.minimaltodo.AboutActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AboutActivity.java|class:com.example.avjindersinghsekhon.minimaltodo.AboutActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/MainActivity.java|class:com.example.avjindersinghsekhon.minimaltodo.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/MainActivity.java|class:com.example.avjindersinghsekhon.minimaltodo.MainActivity
