File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/androidTest/java/com/example/avjindersinghsekhon/minimaltodo/TestStoreRetrieveData.java",com.example.avjindersinghsekhon.minimaltodo.TestStoreRetrieveData,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/androidTest/java/com/example/avjindersinghsekhon/minimaltodo/ApplicationTest.java",com.example.avjindersinghsekhon.minimaltodo.ApplicationTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/androidTest/java/com/example/avjindersinghsekhon/minimaltodo/TestTodoItem.java",com.example.avjindersinghsekhon.minimaltodo.TestTodoItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/TodoNotificationService.java",com.example.avjindersinghsekhon.minimaltodo.TodoNotificationService,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ScrollingFABBehaviour.java",com.example.avjindersinghsekhon.minimaltodo.ScrollingFABBehaviour,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ToDoItem.java",com.example.avjindersinghsekhon.minimaltodo.ToDoItem,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/CustomTextInputLayout.java",com.example.avjindersinghsekhon.minimaltodo.CustomTextInputLayout,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/StoreRetrieveData.java",com.example.avjindersinghsekhon.minimaltodo.StoreRetrieveData,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AboutActivity.java",com.example.avjindersinghsekhon.minimaltodo.AboutActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/MainActivity.java",com.example.avjindersinghsekhon.minimaltodo.MainActivity,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/SettingsFragment.java",com.example.avjindersinghsekhon.minimaltodo.SettingsFragment,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/Utils.java",com.example.avjindersinghsekhon.minimaltodo.Utils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/CustomRecyclerScrollViewListener.java",com.example.avjindersinghsekhon.minimaltodo.CustomRecyclerScrollViewListener,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/DeleteNotificationService.java",com.example.avjindersinghsekhon.minimaltodo.DeleteNotificationService,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ReminderActivity.java",com.example.avjindersinghsekhon.minimaltodo.ReminderActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AnalyticsApplication.java",com.example.avjindersinghsekhon.minimaltodo.AnalyticsApplication,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/ItemTouchHelperClass.java",com.example.avjindersinghsekhon.minimaltodo.ItemTouchHelperClass,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/PreferenceKeys.java",com.example.avjindersinghsekhon.minimaltodo.PreferenceKeys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/RecyclerViewEmptySupport.java",com.example.avjindersinghsekhon.minimaltodo.RecyclerViewEmptySupport,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/AddToDoActivity.java",com.example.avjindersinghsekhon.minimaltodo.AddToDoActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Minimal-Todo/app/src/main/java/com/example/avjindersinghsekhon/minimaltodo/SettingsActivity.java",com.example.avjindersinghsekhon.minimaltodo.SettingsActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
