Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionDetailFragment.java|class:com.innodroid.mongobrowser.ui.ConnectionDetailFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionDetailFragment.java|class:com.innodroid.mongobrowser.ui.ConnectionDetailFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionDetailFragment.java|class:com.innodroid.mongobrowser.ui.ConnectionDetailFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionListFragment.java|class:com.innodroid.mongobrowser.ui.ConnectionListFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ConnectionListFragment.java|class:com.innodroid.mongobrowser.ui.ConnectionListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/BaseFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/BaseFragment.java|class:com.innodroid.mongobrowser.ui.BaseFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ExceptionDetailDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ExceptionDetailDialogFragment.java|class:com.innodroid.mongobrowser.ui.ExceptionDetailDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/QueryEditTextDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/QueryEditTextDialogFragment.java|class:com.innodroid.mongobrowser.ui.QueryEditTextDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/MultiPaneActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/MultiPaneActivity.java|class:com.innodroid.mongobrowser.ui.MultiPaneActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ChangeDatabaseDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/ChangeDatabaseDialogFragment.java|class:com.innodroid.mongobrowser.ui.ChangeDatabaseDialogFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java|class:com.innodroid.mongobrowser.ui.CollectionListFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java|class:com.innodroid.mongobrowser.ui.CollectionListFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java|class:com.innodroid.mongobrowser.ui.CollectionListFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MongoExplorer/app/src/main/java/com/innodroid/mongobrowser/ui/CollectionListFragment.java|class:com.innodroid.mongobrowser.ui.CollectionListFragment
