Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java|class:com.morlunk.mountie.MountieActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java|class:com.morlunk.mountie.MountieActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java|class:com.morlunk.mountie.MountieActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java|class:com.morlunk.mountie.MountieService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java|class:com.morlunk.mountie.MountieService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java|class:com.morlunk.mountie.MountieService
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/Automounter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/Automounter.java|class:com.morlunk.mountie.Automounter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/Automounter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/Automounter.java|class:com.morlunk.mountie.Automounter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Remounter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Remounter.java|class:com.stericson.RootTools.internal.Remounter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Remounter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Remounter.java|class:com.stericson.RootTools.internal.Remounter
