File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/androidTest/java/com/morlunk/mountie/ApplicationTest.java",com.morlunk.mountie.ApplicationTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieActivity.java",com.morlunk.mountie.MountieActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/UsbHotplugReceiver.java",com.morlunk.mountie.UsbHotplugReceiver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieService.java",com.morlunk.mountie.MountieService,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/Automounter.java",com.morlunk.mountie.Automounter,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieBootReceiver.java",com.morlunk.mountie.MountieBootReceiver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/MountieNotification.java",com.morlunk.mountie.MountieNotification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/Constants.java",com.morlunk.mountie.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Remounter.java",com.stericson.RootTools.internal.Remounter,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/InternalVariables.java",com.stericson.RootTools.internal.InternalVariables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Runner.java",com.stericson.RootTools.internal.Runner,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/RootToolsInternalMethods.java",com.stericson.RootTools.internal.RootToolsInternalMethods,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/internal/Installer.java",com.stericson.RootTools.internal.Installer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/exceptions/RootDeniedException.java",com.stericson.RootTools.exceptions.RootDeniedException,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/execution/CommandCapture.java",com.stericson.RootTools.execution.CommandCapture,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/execution/Shell.java",com.stericson.RootTools.execution.Shell,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/execution/Command.java",com.stericson.RootTools.execution.Command,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/execution/JavaCommandCapture.java",com.stericson.RootTools.execution.JavaCommandCapture,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/containers/RootClass.java",com.stericson.RootTools.containers.RootClass,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/containers/Mount.java",com.stericson.RootTools.containers.Mount,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/containers/Symlink.java",com.stericson.RootTools.containers.Symlink,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/containers/Permissions.java",com.stericson.RootTools.containers.Permissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/RootTools.java",com.stericson.RootTools.RootTools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/stericson/RootTools/Constants.java",com.stericson.RootTools.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/util/Filesystems.java",com.morlunk.mountie.util.Filesystems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/command/BlkidCommand.java",com.morlunk.mountie.command.BlkidCommand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/jni/Native.java",com.morlunk.mountie.jni.Native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/BlockDeviceObserver.java",com.morlunk.mountie.fs.BlockDeviceObserver,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/MountListener.java",com.morlunk.mountie.fs.MountListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/UnmountListener.java",com.morlunk.mountie.fs.UnmountListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/BlockDevice.java",com.morlunk.mountie.fs.BlockDevice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/MountException.java",com.morlunk.mountie.fs.MountException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/Mount.java",com.morlunk.mountie.fs.Mount,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/Partition.java",com.morlunk.mountie.fs.Partition,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/PartitionListener.java",com.morlunk.mountie.fs.PartitionListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Mountie/app/src/main/java/com/morlunk/mountie/fs/Volume.java",com.morlunk.mountie.fs.Volume,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
