Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/database/model/Note.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/database/model/Note.java|class:org.aykit.MyOwnNotes.database.model.Note
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/database/model/Note.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/database/model/Note.java|class:org.aykit.MyOwnNotes.database.model.Note
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/asynctasks/SyncNotesAsyncTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/asynctasks/SyncNotesAsyncTask.java|class:org.aykit.MyOwnNotes.asynctasks.SyncNotesAsyncTask
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/asynctasks/SyncNotesAsyncTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/asynctasks/SyncNotesAsyncTask.java|class:org.aykit.MyOwnNotes.asynctasks.SyncNotesAsyncTask
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/asynctasks/SyncNotesAsyncTask.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/asynctasks/SyncNotesAsyncTask.java|class:org.aykit.MyOwnNotes.asynctasks.SyncNotesAsyncTask
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteDetailFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteDetailFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteDetailFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteDetailFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteDetailFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteListFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteListFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/fragments/NoteListFragment.java|class:org.aykit.MyOwnNotes.fragments.NoteListFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/adapter/DividerItemDecoration.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/adapter/DividerItemDecoration.java|class:org.aykit.MyOwnNotes.adapter.DividerItemDecoration
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/adapter/NotesListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/app/src/main/java/org/aykit/MyOwnNotes/adapter/NotesListAdapter.java|class:org.aykit.MyOwnNotes.adapter.NotesListAdapter
