Issue;Tool;Project;File;Location
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/classes/MySimpleCursorLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/classes/MySimpleCursorLoader.java|class:org.aykit.owncloud_notes.classes.MySimpleCursorLoader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/classes/SimpleCursorLoader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/classes/SimpleCursorLoader.java|class:org.aykit.owncloud_notes.classes.SimpleCursorLoader
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/StartActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/StartActivity.java|class:org.aykit.owncloud_notes.StartActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteSingleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteSingleActivity.java|class:org.aykit.owncloud_notes.NoteSingleActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteSingleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteSingleActivity.java|class:org.aykit.owncloud_notes.NoteSingleActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteSingleActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteSingleActivity.java|class:org.aykit.owncloud_notes.NoteSingleActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteListActivity.java|class:org.aykit.owncloud_notes.NoteListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/NoteListActivity.java|class:org.aykit.owncloud_notes.NoteListActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/SettingsActivity.java|class:org.aykit.owncloud_notes.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/SettingsActivity.java|class:org.aykit.owncloud_notes.SettingsActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/SettingsActivity.java|class:org.aykit.owncloud_notes.SettingsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/sql/NotesTable.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/sql/NotesTable.java|class:org.aykit.owncloud_notes.sql.NotesTable
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes;/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/sql/NotesOpenHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/MyOwnNotes/src/org/aykit/owncloud_notes/sql/NotesOpenHelper.java|class:org.aykit.owncloud_notes.sql.NotesOpenHelper
