Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/adapter/MyAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/adapter/MyAdapter.java|class:com.jvillalba.apod.md.adapter.MyAdapter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java|class:com.jvillalba.apod.md.model.PicassoDownloader
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java|class:com.jvillalba.apod.md.model.PicassoDownloader
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java|class:com.jvillalba.apod.md.activities.ImageActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java|class:com.jvillalba.apod.md.activities.ImageActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java|class:com.jvillalba.apod.md.activities.ImageActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java|class:com.jvillalba.apod.md.activities.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java|class:com.jvillalba.apod.md.activities.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java|class:com.jvillalba.apod.md.activities.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java|class:com.jvillalba.apod.md.activities.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java|class:com.jvillalba.apod.md.activities.ViewActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java|class:com.jvillalba.apod.md.activities.ViewActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java|class:com.jvillalba.apod.md.activities.ViewActivity
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/API/API.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/API/API.java|line:9
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java|line:71
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java|line:74
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java|line:134
UseIndexOfChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java|line:165
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/controller/NasaController.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/controller/NasaController.java|line:28
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/app/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java|line:40
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/adapter/MyAdapter.java;file:/src/main/java/com/jvillalba/apod/md/adapter/MyAdapter.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/controller/NasaController.java;file:/src/main/java/com/jvillalba/apod/md/controller/NasaController.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java;file:/src/main/java/com/jvillalba/apod/md/model/PicassoDownloader.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/API/ApiService/NASAServices.java;file:/src/main/java/com/jvillalba/apod/md/API/ApiService/NASAServices.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java;file:/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java;file:/src/main/java/com/jvillalba/apod/md/activities/ImageActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java;file:/src/main/java/com/jvillalba/apod/md/activities/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/NasaApodMD/NONE_TRANSFORMED_;/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java;file:/src/main/java/com/jvillalba/apod/md/activities/ViewActivity.java
