Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/MainActivity.java|class:com.EthanHeming.NeuralNetworkSimulator.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/MainActivity.java|class:com.EthanHeming.NeuralNetworkSimulator.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/HelpFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/HelpFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.HelpFragment
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.EditorFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.EditorFragment
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.EditorFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.EditorFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.EditorFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralNetworkSimulator/EditorFragment.java|class:com.EthanHeming.NeuralNetworkSimulator.EditorFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/RenderObject.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/RenderObject.java|class:com.EthanHeming.NeuralCircuits.RenderObject
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/RenderObject.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/RenderObject.java|class:com.EthanHeming.NeuralCircuits.RenderObject
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Neuron.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Neuron.java|class:com.EthanHeming.NeuralCircuits.Neuron
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Electrode.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Electrode.java|class:com.EthanHeming.NeuralCircuits.Electrode
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Electrode.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Electrode.java|class:com.EthanHeming.NeuralCircuits.Electrode
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java|class:com.EthanHeming.NeuralCircuits.Brain
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java|class:com.EthanHeming.NeuralCircuits.Brain
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java|class:com.EthanHeming.NeuralCircuits.Brain
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Brain.java|class:com.EthanHeming.NeuralCircuits.Brain
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Axon.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Axon.java|class:com.EthanHeming.NeuralCircuits.Axon
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Axon.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NeuralNetworkSimulator/app/src/main/java/com/EthanHeming/NeuralCircuits/Axon.java|class:com.EthanHeming.NeuralCircuits.Axon
