File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/DetailActivity.java",com.icechen1.notable.library.DetailActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/MainActivity.java",com.icechen1.notable.library.MainActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/NotificationService.java",com.icechen1.notable.library.NotificationService,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/DeskClockExtension.java",com.icechen1.notable.library.DeskClockExtension,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/NotableApplication.java",com.icechen1.notable.library.NotableApplication,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/PreferencesActivity.java",com.icechen1.notable.library.PreferencesActivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/HistoryActivity.java",com.icechen1.notable.library.HistoryActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/utils/NotificationBuilder.java",com.icechen1.notable.library.utils.NotificationBuilder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/utils/NotificationItem.java",com.icechen1.notable.library.utils.NotificationItem,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/utils/DeviceBootListener.java",com.icechen1.notable.library.utils.DeviceBootListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/utils/NotificationDataSource.java",com.icechen1.notable.library.utils.NotificationDataSource,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/utils/NotificationAdapter.java",com.icechen1.notable.library.utils.NotificationAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notableLibrary/src/main/java/com/icechen1/notable/library/utils/CursorRecyclerViewAdapter.java",com.icechen1.notable.library.utils.CursorRecyclerViewAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notablePro/src/main/java/com/icechen1/notable/pro/MainActivity.java",com.icechen1.notable.pro.MainActivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Notable/notablePro/src/main/java/com/icechen1/notable/Test.java",com.icechen1.notable.Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
