Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java|class:com.guvery.notifyme.CreateActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java|class:com.guvery.notifyme.CreateActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java|class:com.guvery.notifyme.CreateActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java|class:com.guvery.notifyme.CreateActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java|class:com.guvery.notifyme.HistoryAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java|class:com.guvery.notifyme.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java|class:com.guvery.notifyme.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java|class:com.guvery.notifyme.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/RecyclerItemClickListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/RecyclerItemClickListener.java|class:com.guvery.notifyme.RecyclerItemClickListener
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/RecyclerItemClickListener.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/RecyclerItemClickListener.java|class:com.guvery.notifyme.RecyclerItemClickListener
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/Notifier.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/Notifier.java|class:com.guvery.notifyme.Notifier
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/Notifier.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/Notifier.java|class:com.guvery.notifyme.Notifier
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java|class:com.guvery.notifyme.NotificationHistory
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java|class:com.guvery.notifyme.NotificationHistory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/ImageAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/ImageAdapter.java|class:com.guvery.notifyme.ImageAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/ImageAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/ImageAdapter.java|class:com.guvery.notifyme.ImageAdapter
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/SettingsActivity.java|class:com.guvery.notifyme.SettingsActivity
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java|line:69
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java|line:71
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java|line:73
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java|line:12
