File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/androidTest/java/com/guvery/notifyme/ApplicationTest.java",com.guvery.notifyme.ApplicationTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/CreateActivity.java",com.guvery.notifyme.CreateActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/HistoryAdapter.java",com.guvery.notifyme.HistoryAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/MainActivity.java",com.guvery.notifyme.MainActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/RecyclerItemClickListener.java",com.guvery.notifyme.RecyclerItemClickListener,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/Notif.java",com.guvery.notifyme.Notif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/Notifier.java",com.guvery.notifyme.Notifier,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/NotificationHistory.java",com.guvery.notifyme.NotificationHistory,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/ImageAdapter.java",com.guvery.notifyme.ImageAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/NotifyMe/app/src/main/java/com/guvery/notifyme/SettingsActivity.java",com.guvery.notifyme.SettingsActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
