Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsSwitcher.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsSwitcher.java|class:nya.miku.wishmaster.ui.tabs.TabsSwitcher
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/LocalHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/LocalHandler.java|class:nya.miku.wishmaster.ui.tabs.LocalHandler
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java|class:nya.miku.wishmaster.ui.tabs.TabsTrackerService
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java|class:nya.miku.wishmaster.ui.tabs.TabsTrackerService
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java|class:nya.miku.wishmaster.ui.tabs.TabsTrackerService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java|class:nya.miku.wishmaster.ui.tabs.TabsTrackerService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java|class:nya.miku.wishmaster.ui.tabs.TabsTrackerService
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsTrackerService.java|class:nya.miku.wishmaster.ui.tabs.TabsTrackerService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsAdapter.java|class:nya.miku.wishmaster.ui.tabs.TabsAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/TabsAdapter.java|class:nya.miku.wishmaster.ui.tabs.TabsAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/UrlHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/tabs/UrlHandler.java|class:nya.miku.wishmaster.ui.tabs.UrlHandler
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/settings/SettingsExporter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/settings/SettingsExporter.java|class:nya.miku.wishmaster.ui.settings.SettingsExporter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/settings/SettingsExporter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Overchan-Android/src/nya/miku/wishmaster/ui/settings/SettingsExporter.java|class:nya.miku.wishmaster.ui.settings.SettingsExporter
