Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/AboutActivity.java|class:com.quaap.phonefonefun.AboutActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java|class:com.quaap.phonefonefun.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java|class:com.quaap.phonefonefun.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java|class:com.quaap.phonefonefun.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java|class:com.quaap.phonefonefun.TextToVoice
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java|class:com.quaap.phonefonefun.TextToVoice
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java|line:62
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java|line:63
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/MainActivity.java|line:64
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java|line:29
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java|line:31
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java|line:35
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/app/src/main/java/com/quaap/phonefonefun/TextToVoice.java|line:39
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/AboutActivity.java;file:/src/main/java/com/quaap/phonefonefun/AboutActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/src/main/java/com/quaap/phonefonefun/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/TextToVoice.java;file:/src/main/java/com/quaap/phonefonefun/TextToVoice.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/AboutActivity.java;file:/src/main/java/com/quaap/phonefonefun/AboutActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/src/main/java/com/quaap/phonefonefun/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/AboutActivity.java;file:/src/main/java/com/quaap/phonefonefun/AboutActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhoneFoneFun/NONE_TRANSFORMED_;/src/main/java/com/quaap/phonefonefun/MainActivity.java;file:/src/main/java/com/quaap/phonefonefun/MainActivity.java
