Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java|class:com.ruesga.android.wallpapers.photophase.MediaPictureDiscoverer
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java|class:com.ruesga.android.wallpapers.photophase.MediaPictureDiscoverer
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java|class:com.ruesga.android.wallpapers.photophase.MediaPictureDiscoverer
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseApplication.java|class:com.ruesga.android.wallpapers.photophase.PhotoPhaseApplication
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseApplication.java|class:com.ruesga.android.wallpapers.photophase.PhotoPhaseApplication
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/EGLWallpaperService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/EGLWallpaperService.java|class:com.ruesga.android.wallpapers.photophase.EGLWallpaperService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/EGLWallpaperService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/EGLWallpaperService.java|class:com.ruesga.android.wallpapers.photophase.EGLWallpaperService
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java|class:com.ruesga.android.wallpapers.photophase.PhotoPhaseWallpaper
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java|class:com.ruesga.android.wallpapers.photophase.PhotoPhaseWallpaper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java|class:com.ruesga.android.wallpapers.photophase.PhotoPhaseWallpaper
