File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/MediaPictureDiscoverer.java",com.ruesga.android.wallpapers.photophase.MediaPictureDiscoverer,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/Colors.java",com.ruesga.android.wallpapers.photophase.Colors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseApplication.java",com.ruesga.android.wallpapers.photophase.PhotoPhaseApplication,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/EGLWallpaperService.java",com.ruesga.android.wallpapers.photophase.EGLWallpaperService,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaper.java",com.ruesga.android.wallpapers.photophase.PhotoPhaseWallpaper,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoFrame.java",com.ruesga.android.wallpapers.photophase.PhotoFrame,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseRenderer.java",com.ruesga.android.wallpapers.photophase.PhotoPhaseRenderer,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/GLES20WallpaperService.java",com.ruesga.android.wallpapers.photophase.GLES20WallpaperService,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoViewerActivity.java",com.ruesga.android.wallpapers.photophase.PhotoViewerActivity,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/GLESSurfaceDispatcher.java",com.ruesga.android.wallpapers.photophase.GLESSurfaceDispatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/PhotoPhaseWallpaperWorld.java",com.ruesga.android.wallpapers.photophase.PhotoPhaseWallpaperWorld,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/FixedQueue.java",com.ruesga.android.wallpapers.photophase.FixedQueue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/AndroidHelper.java",com.ruesga.android.wallpapers.photophase.AndroidHelper,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/GLESWallpaperService.java",com.ruesga.android.wallpapers.photophase.GLESWallpaperService,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/textures/TextureManager.java",com.ruesga.android.wallpapers.photophase.textures.TextureManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/textures/TextureRequestor.java",com.ruesga.android.wallpapers.photophase.textures.TextureRequestor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/textures/SimpleTextureManager.java",com.ruesga.android.wallpapers.photophase.textures.SimpleTextureManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/textures/PhotoPhaseTextureManager.java",com.ruesga.android.wallpapers.photophase.textures.PhotoPhaseTextureManager,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/AppCompatPreferenceActivity.java",com.ruesga.android.wallpapers.photophase.preferences.AppCompatPreferenceActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/MediaPreferenceFragment.java",com.ruesga.android.wallpapers.photophase.preferences.MediaPreferenceFragment,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/SwitchPreference.java",com.ruesga.android.wallpapers.photophase.preferences.SwitchPreference,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/PhotoPhasePreferences.java",com.ruesga.android.wallpapers.photophase.preferences.PhotoPhasePreferences,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/LandscapeDispositionFragment.java",com.ruesga.android.wallpapers.photophase.preferences.LandscapeDispositionFragment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/MultiSelectListPreferenceCompat.java",com.ruesga.android.wallpapers.photophase.preferences.MultiSelectListPreferenceCompat,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/DiscreteSeekBarPreference.java",com.ruesga.android.wallpapers.photophase.preferences.DiscreteSeekBarPreference,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/ChoosePicturesFragment.java",com.ruesga.android.wallpapers.photophase.preferences.ChoosePicturesFragment,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/LiveEffectsPreviewFragment.java",com.ruesga.android.wallpapers.photophase.preferences.LiveEffectsPreviewFragment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/LiveTransitionsPreviewFragment.java",com.ruesga.android.wallpapers.photophase.preferences.LiveTransitionsPreviewFragment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/PhotoPhase/app/src/main/java/com/ruesga/android/wallpapers/photophase/preferences/OnBackPressedListener.java",com.ruesga.android.wallpapers.photophase.preferences.OnBackPressedListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
