Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/widget/AmbilWarnaPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/widget/AmbilWarnaPreference.java|class:yuku.ambilwarna.widget.AmbilWarnaPreference
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/AmbilWarnaDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/AmbilWarnaDialog.java|class:yuku.ambilwarna.AmbilWarnaDialog
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/AmbilWarnaDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/AmbilWarnaDialog.java|class:yuku.ambilwarna.AmbilWarnaDialog
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/AmbilWarnaSquare.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/AmbilWarna/src/yuku/ambilwarna/AmbilWarnaSquare.java|class:yuku.ambilwarna.AmbilWarnaSquare
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView.java|class:group.pals.android.lib.ui.lockpattern.widget.LockPatternView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView.java|class:group.pals.android.lib.ui.lockpattern.widget.LockPatternView
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView.java|class:group.pals.android.lib.ui.lockpattern.widget.LockPatternView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternUtils.java|class:group.pals.android.lib.ui.lockpattern.widget.LockPatternUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView_v14.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/widget/LockPatternView_v14.java|class:group.pals.android.lib.ui.lockpattern.widget.LockPatternView_v14
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/util/Randoms.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Pi-Locker/libs/pattern/code/src/group/pals/android/lib/ui/lockpattern/util/Randoms.java|class:group.pals.android.lib.ui.lockpattern.util.Randoms
