Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/WanHostActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/WanHostActivity.java|class:com.aaronjwood.portauthority.activity.WanHostActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java|class:com.aaronjwood.portauthority.activity.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java|class:com.aaronjwood.portauthority.activity.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java|class:com.aaronjwood.portauthority.activity.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/MainActivity.java|class:com.aaronjwood.portauthority.activity.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/DnsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/DnsActivity.java|class:com.aaronjwood.portauthority.activity.DnsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/DnsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/DnsActivity.java|class:com.aaronjwood.portauthority.activity.DnsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/HostActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/HostActivity.java|class:com.aaronjwood.portauthority.activity.HostActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/HostActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/HostActivity.java|class:com.aaronjwood.portauthority.activity.HostActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/LanHostActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/LanHostActivity.java|class:com.aaronjwood.portauthority.activity.LanHostActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/PreferencesActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/activity/PreferencesActivity.java|class:com.aaronjwood.portauthority.activity.PreferencesActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/Wireless.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/Wireless.java|class:com.aaronjwood.portauthority.network.Wireless
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/Wireless.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/Wireless.java|class:com.aaronjwood.portauthority.network.Wireless
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/Host.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/Host.java|class:com.aaronjwood.portauthority.network.Host
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/MDNSResolver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/MDNSResolver.java|class:com.aaronjwood.portauthority.network.MDNSResolver
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/MDNSResolver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PortAuthority/app/src/main/java/com/aaronjwood/portauthority/network/MDNSResolver.java|class:com.aaronjwood.portauthority.network.MDNSResolver
