Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostFilesystem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostFilesystem.java|class:com.alxgnon.postwriter.PostFilesystem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostIndicator.java|class:com.alxgnon.postwriter.PostIndicator
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostalAgent.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostalAgent.java|class:com.alxgnon.postwriter.PostalAgent
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostMemory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostMemory.java|class:com.alxgnon.postwriter.PostMemory
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostMemory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostMemory.java|class:com.alxgnon.postwriter.PostMemory
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostFilesystem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostFilesystem.java|line:50
InefficientEmptyStringCheck;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostIndicator.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/app/src/main/java/com/alxgnon/postwriter/PostIndicator.java|line:36
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/src/main/java/com/alxgnon/postwriter/PostIndicator.java;file:/src/main/java/com/alxgnon/postwriter/PostIndicator.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/src/main/java/com/alxgnon/postwriter/PostalAgent.java;file:/src/main/java/com/alxgnon/postwriter/PostalAgent.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/src/main/java/com/alxgnon/postwriter/MainActivity.java;file:/src/main/java/com/alxgnon/postwriter/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/src/main/java/com/alxgnon/postwriter/PostMemory.java;file:/src/main/java/com/alxgnon/postwriter/PostMemory.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/src/main/java/com/alxgnon/postwriter/MainInterface.java;file:/src/main/java/com/alxgnon/postwriter/MainInterface.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;/src/main/java/com/alxgnon/postwriter/PostMemory.java;file:/src/main/java/com/alxgnon/postwriter/PostMemory.java
IPCOnUIThread;Infer;/Users/rar9993/repos/research/fdroid_apps/native_apps/PostWriter/NONE_TRANSFORMED_;app/src/main/java/com/alxgnon/postwriter/MainActivity.java;file:app/src/main/java/com/alxgnon/postwriter/MainActivity.java|line:40
