Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/MessageFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/MessageFragment.java|class:com.rascarlo.power.button.tile.ui.MessageFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/MessageFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/MessageFragment.java|class:com.rascarlo.power.button.tile.ui.MessageFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/SettingsFragment.java|class:com.rascarlo.power.button.tile.ui.SettingsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/ui/SettingsFragment.java|class:com.rascarlo.power.button.tile.ui.SettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/MainActivity.java|class:com.rascarlo.power.button.tile.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/MainActivity.java|class:com.rascarlo.power.button.tile.MainActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/tiles/ScreenshotTile.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/app/src/main/java/com/rascarlo/power/button/tile/tiles/ScreenshotTile.java|class:com.rascarlo.power.button.tile.tiles.ScreenshotTile
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/power/button/tile/ui/SettingsFragment.java;file:/src/main/java/com/rascarlo/power/button/tile/ui/SettingsFragment.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/power/button/tile/PowerButtonAccessibilityService.java;file:/src/main/java/com/rascarlo/power/button/tile/PowerButtonAccessibilityService.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/PowerButtonTile/NONE_TRANSFORMED_;/src/main/java/com/rascarlo/power/button/tile/MainActivity.java;file:/src/main/java/com/rascarlo/power/button/tile/MainActivity.java
