Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/ScoresActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/ScoresActivity.java|class:com.quaap.primary.ScoresActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/NounCleanActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/NounCleanActivity.java|class:com.quaap.primary.NounCleanActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/NounCleanActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/NounCleanActivity.java|class:com.quaap.primary.NounCleanActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/MainActivity.java|class:com.quaap.primary.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/MainActivity.java|class:com.quaap.primary.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/Primary.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/Primary.java|class:com.quaap.primary.Primary
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/SettingsActivity.java|class:com.quaap.primary.SettingsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/math/BasicMathLevel.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/math/BasicMathLevel.java|class:com.quaap.primary.math.BasicMathLevel
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/math/SortingActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/math/SortingActivity.java|class:com.quaap.primary.math.SortingActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/math/SortingActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Primary/app/src/main/java/com/quaap/primary/math/SortingActivity.java|class:com.quaap.primary.math.SortingActivity
