Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ControlsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ControlsFragment.java|class:com.hardcodecoder.pulsemusic.ui.ControlsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ControlsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ControlsFragment.java|class:com.hardcodecoder.pulsemusic.ui.ControlsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/PlaylistCardFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/PlaylistCardFragment.java|class:com.hardcodecoder.pulsemusic.ui.PlaylistCardFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/PlaylistCardFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/PlaylistCardFragment.java|class:com.hardcodecoder.pulsemusic.ui.PlaylistCardFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/PlaylistCardFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/PlaylistCardFragment.java|class:com.hardcodecoder.pulsemusic.ui.PlaylistCardFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/HomeFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/HomeFragment.java|class:com.hardcodecoder.pulsemusic.ui.HomeFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/HomeFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/HomeFragment.java|class:com.hardcodecoder.pulsemusic.ui.HomeFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/HomeFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/HomeFragment.java|class:com.hardcodecoder.pulsemusic.ui.HomeFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ArtistFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ArtistFragment.java|class:com.hardcodecoder.pulsemusic.ui.ArtistFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ArtistFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/PulseMusic/app/src/main/java/com/hardcodecoder/pulsemusic/ui/ArtistFragment.java|class:com.hardcodecoder.pulsemusic.ui.ArtistFragment
