Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/MainActivity.java|class:com.ibrahimyousre.resumebuilder.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/MainActivity.java|class:com.ibrahimyousre.resumebuilder.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/App.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/App.java|class:com.ibrahimyousre.resumebuilder.App
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/App.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/App.java|class:com.ibrahimyousre.resumebuilder.App
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/EditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/EditActivity.java|class:com.ibrahimyousre.resumebuilder.EditActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/EditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/EditActivity.java|class:com.ibrahimyousre.resumebuilder.EditActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/EditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/EditActivity.java|class:com.ibrahimyousre.resumebuilder.EditActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/fragments/PreviewFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/fragments/PreviewFragment.java|class:com.ibrahimyousre.resumebuilder.fragments.PreviewFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/fragments/PreviewFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/fragments/PreviewFragment.java|class:com.ibrahimyousre.resumebuilder.fragments.PreviewFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/adapters/ResumeEventAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/adapters/ResumeEventAdapter.java|class:com.ibrahimyousre.resumebuilder.adapters.ResumeEventAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/adapters/ResumeEventAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Resume-Builder/app/src/main/java/com/ibrahimyousre/resumebuilder/adapters/ResumeEventAdapter.java|class:com.ibrahimyousre.resumebuilder.adapters.ResumeEventAdapter
