Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/Transformer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/Transformer.java|class:com.npes87184.s2tdroid.donate.model.Transformer
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/Transformer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/Transformer.java|class:com.npes87184.s2tdroid.donate.model.Transformer
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/ListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/ListAdapter.java|class:com.npes87184.s2tdroid.donate.model.ListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/ListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/model/ListAdapter.java|class:com.npes87184.s2tdroid.donate.model.ListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/BubbleFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/BubbleFragment.java|class:com.npes87184.s2tdroid.donate.BubbleFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/BubbleFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/BubbleFragment.java|class:com.npes87184.s2tdroid.donate.BubbleFragment
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java|class:com.npes87184.s2tdroid.donate.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java|class:com.npes87184.s2tdroid.donate.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java|class:com.npes87184.s2tdroid.donate.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/S2TDroid/app/src/main/java/com/npes87184/s2tdroid/donate/MainActivity.java|class:com.npes87184.s2tdroid.donate.MainActivity
