Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java|class:com.fisheradelakin.interactivestory.ui.StoryActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java|class:com.fisheradelakin.interactivestory.ui.StoryActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java|class:com.fisheradelakin.interactivestory.ui.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java|class:com.fisheradelakin.interactivestory.ui.MainActivity
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/model/Page.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/app/src/main/java/com/fisheradelakin/interactivestory/model/Page.java|line:11
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java;file:/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java;file:/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java;file:/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java;file:/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java;file:/src/main/java/com/fisheradelakin/interactivestory/ui/StoryActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SFM/NONE_TRANSFORMED_;/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java;file:/src/main/java/com/fisheradelakin/interactivestory/ui/MainActivity.java
