Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|class:com.jotabout.screeninfo.ScreenInfo
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|class:com.jotabout.screeninfo.ScreenInfo
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|class:com.jotabout.screeninfo.ScreenInfo
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java|class:com.jotabout.screeninfo.Screen
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java|class:com.jotabout.screeninfo.Screen
AppendCharacterWithChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java|line:600
AppendCharacterWithChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java|line:605
AppendCharacterWithChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java|line:605
AppendCharacterWithChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/Screen.java|line:622
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|line:204
ConsecutiveAppendsShouldReuse;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|line:251
ConsecutiveAppendsShouldReuse;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|line:252
AppendCharacterWithChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|line:253
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/app/src/main/java/com/jotabout/screeninfo/ScreenInfo.java|line:272
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/src/main/java/com/jotabout/screeninfo/ScreenInfo.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/src/main/java/com/jotabout/screeninfo/Screen.java;file:/src/main/java/com/jotabout/screeninfo/Screen.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/src/main/java/com/jotabout/screeninfo/ScreenInfo.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenInfo/NONE_TRANSFORMED_;/src/main/java/com/jotabout/screeninfo/ScreenInfo.java;file:/src/main/java/com/jotabout/screeninfo/ScreenInfo.java
