Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/ShellOnMainThreadException.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/ShellOnMainThreadException.java|class:eu.chainfire.libsuperuser.ShellOnMainThreadException
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/HideOverlaysReceiver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/HideOverlaysReceiver.java|class:eu.chainfire.libsuperuser.HideOverlaysReceiver
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/StreamGobbler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/StreamGobbler.java|class:eu.chainfire.libsuperuser.StreamGobbler
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/StreamGobbler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/StreamGobbler.java|class:eu.chainfire.libsuperuser.StreamGobbler
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Application.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Application.java|class:eu.chainfire.libsuperuser.Application
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Application.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Application.java|class:eu.chainfire.libsuperuser.Application
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Shell.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Shell.java|class:eu.chainfire.libsuperuser.Shell
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Shell.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Shell.java|class:eu.chainfire.libsuperuser.Shell
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Shell.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Shell.java|class:eu.chainfire.libsuperuser.Shell
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Debug.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Debug.java|class:eu.chainfire.libsuperuser.Debug
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Debug.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/libsuperuser/src/eu/chainfire/libsuperuser/Debug.java|class:eu.chainfire.libsuperuser.Debug
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java|class:com.sagar.screenshift2.ProductTourActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java|class:com.sagar.screenshift2.ProductTourActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java|class:com.sagar.screenshift2.ProductTourActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourActivity.java|class:com.sagar.screenshift2.ProductTourActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ScreenShiftService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ScreenShiftService.java|class:com.sagar.screenshift2.ScreenShiftService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ScreenShiftService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ScreenShiftService.java|class:com.sagar.screenshift2.ScreenShiftService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AboutActivity.java|class:com.sagar.screenshift2.AboutActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java|class:com.sagar.screenshift2.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java|class:com.sagar.screenshift2.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java|class:com.sagar.screenshift2.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/MainActivity.java|class:com.sagar.screenshift2.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/PreferencesHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/PreferencesHelper.java|class:com.sagar.screenshift2.PreferencesHelper
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/ProductTourFragment.java|class:com.sagar.screenshift2.ProductTourFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/DialogFragments.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/DialogFragments.java|class:com.sagar.screenshift2.DialogFragments
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/DialogFragments.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/DialogFragments.java|class:com.sagar.screenshift2.DialogFragments
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AppChangeDetectionService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AppChangeDetectionService.java|class:com.sagar.screenshift2.AppChangeDetectionService
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AppChangeDetectionService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AppChangeDetectionService.java|class:com.sagar.screenshift2.AppChangeDetectionService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AppChangeDetectionService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ScreenShift/app/src/main/java/com/sagar/screenshift2/AppChangeDetectionService.java|class:com.sagar.screenshift2.AppChangeDetectionService
