Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java|class:com.quaap.fishberserker.PlayActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java|class:com.quaap.fishberserker.PlayActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java|class:com.quaap.fishberserker.PlayActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/AboutActivity.java|class:com.quaap.fishberserker.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/EntryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/EntryActivity.java|class:com.quaap.fishberserker.EntryActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/EntryActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/EntryActivity.java|class:com.quaap.fishberserker.EntryActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/App.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/App.java|class:com.quaap.fishberserker.App
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/App.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/App.java|class:com.quaap.fishberserker.App
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/SettingsActivity.java|class:com.quaap.fishberserker.SettingsActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/Utils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/Utils.java|class:com.quaap.fishberserker.component.Utils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/Utils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/Utils.java|class:com.quaap.fishberserker.component.Utils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SoundEffects.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SoundEffects.java|class:com.quaap.fishberserker.component.SoundEffects
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SoundEffects.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SoundEffects.java|class:com.quaap.fishberserker.component.SoundEffects
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SliderPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SliderPreference.java|class:com.quaap.fishberserker.component.SliderPreference
