File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/PlayActivity.java",com.quaap.fishberserker.PlayActivity,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/AboutActivity.java",com.quaap.fishberserker.AboutActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/EntryActivity.java",com.quaap.fishberserker.EntryActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/App.java",com.quaap.fishberserker.App,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/SettingsActivity.java",com.quaap.fishberserker.SettingsActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/Utils.java",com.quaap.fishberserker.component.Utils,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SoundEffects.java",com.quaap.fishberserker.component.SoundEffects,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/component/SliderPreference.java",com.quaap.fishberserker.component.SliderPreference,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/game/FlyingItem.java",com.quaap.fishberserker.game.FlyingItem,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/game/MainFishView.java",com.quaap.fishberserker.game.MainFishView,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SeafoodBerserker/app/src/main/java/com/quaap/fishberserker/events/GameEvent.java",com.quaap.fishberserker.events.GameEvent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
