Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NoteActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NoteActivity.java|class:com.rafapps.simplenotes.NoteActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NoteActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NoteActivity.java|class:com.rafapps.simplenotes.NoteActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NoteActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NoteActivity.java|class:com.rafapps.simplenotes.NoteActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/HelperUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/HelperUtils.java|class:com.rafapps.simplenotes.HelperUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesDiffCallback.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesDiffCallback.java|class:com.rafapps.simplenotes.NotesDiffCallback
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListActivity.java|class:com.rafapps.simplenotes.NotesListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListActivity.java|class:com.rafapps.simplenotes.NotesListActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListActivity.java|class:com.rafapps.simplenotes.NotesListActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListAdapter.java|class:com.rafapps.simplenotes.NotesListAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/Simple-Notes/app/src/main/java/com/rafapps/simplenotes/NotesListAdapter.java|class:com.rafapps.simplenotes.NotesListAdapter
