Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java|class:com.garyodernichts.downgrader.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java|class:com.garyodernichts.downgrader.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java|class:com.garyodernichts.downgrader.MainActivity
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java|line:126
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java|line:172
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/app/src/main/java/com/garyodernichts/downgrader/MainActivity.java|line:179
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/src/main/java/com/garyodernichts/downgrader/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/src/main/java/com/garyodernichts/downgrader/MainActivity.java;file:/src/main/java/com/garyodernichts/downgrader/MainActivity.java
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_/app/src/main/res/drawable-v24/ic_launcher_foreground.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_/app/src/main/res/drawable-v24/ic_launcher_foreground.xml|line:1
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:3
UnusedResources;Lint;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_launcher_background.xml;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/SimpleAppDowngrader/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_launcher_background.xml|line:2
