File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/ReadActivity.java",info.xuluan.podcast.ReadActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/DownloadingActivity.java",info.xuluan.podcast.DownloadingActivity,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/Pref.java",info.xuluan.podcast.Pref,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/SelectActivity.java",info.xuluan.podcast.SelectActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/PodcastBaseActivity.java",info.xuluan.podcast.PodcastBaseActivity,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/PlayListActivity.java",info.xuluan.podcast.PlayListActivity,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/MainActivity.java",info.xuluan.podcast.MainActivity,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/SubsActivity.java",info.xuluan.podcast.SubsActivity,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/SearchChannel.java",info.xuluan.podcast.SearchChannel,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/ReadActivity.java",info.xuluan.podcast.ReadActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/DownloadingActivity.java",info.xuluan.podcast.DownloadingActivity,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/Pref.java",info.xuluan.podcast.Pref,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/AudioPlayer.java",info.xuluan.podcast.AudioPlayer,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/SelectActivity.java",info.xuluan.podcast.SelectActivity,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/PodcastBaseActivity.java",info.xuluan.podcast.PodcastBaseActivity,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/PlayListActivity.java",info.xuluan.podcast.PlayListActivity,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/MainActivity.java",info.xuluan.podcast.MainActivity,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/SubsActivity.java",info.xuluan.podcast.SubsActivity,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/SearchChannel.java",info.xuluan.podcast.SearchChannel,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/ChannelActivity.java",info.xuluan.podcast.ChannelActivity,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/provider/ItemColumns.java",info.xuluan.podcast.provider.ItemColumns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/provider/SubscriptionColumns.java",info.xuluan.podcast.provider.SubscriptionColumns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/provider/PodcastOpenHelper.java",info.xuluan.podcast.provider.PodcastOpenHelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/provider/FeedItem.java",info.xuluan.podcast.provider.FeedItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/provider/PodcastProvider.java",info.xuluan.podcast.provider.PodcastProvider,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/branch/podcast-phase-1/src/info/xuluan/podcast/provider/Subscription.java",info.xuluan.podcast.provider.Subscription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/provider/ItemColumns.java",info.xuluan.podcast.provider.ItemColumns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/provider/SubscriptionColumns.java",info.xuluan.podcast.provider.SubscriptionColumns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/provider/PodcastOpenHelper.java",info.xuluan.podcast.provider.PodcastOpenHelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/provider/FeedItem.java",info.xuluan.podcast.provider.FeedItem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/provider/PodcastProvider.java",info.xuluan.podcast.provider.PodcastProvider,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/SoundWaves/podcast/xapppodcast/src/info/xuluan/podcast/provider/Subscription.java",info.xuluan.podcast.provider.Subscription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
