Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/regex.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/regex.java|class:ohi.andre.consolelauncher.commands.main.raw.regex
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/regex.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/regex.java|class:ohi.andre.consolelauncher.commands.main.raw.regex
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tutorial.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tutorial.java|class:ohi.andre.consolelauncher.commands.main.raw.tutorial
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/reply.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/reply.java|class:ohi.andre.consolelauncher.commands.main.raw.reply
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/reply.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/reply.java|class:ohi.andre.consolelauncher.commands.main.raw.reply
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/apps.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/apps.java|class:ohi.andre.consolelauncher.commands.main.raw.apps
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/apps.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/apps.java|class:ohi.andre.consolelauncher.commands.main.raw.apps
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tui.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tui.java|class:ohi.andre.consolelauncher.commands.main.raw.tui
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tui.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tui.java|class:ohi.andre.consolelauncher.commands.main.raw.tui
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tui.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/tui.java|class:ohi.andre.consolelauncher.commands.main.raw.tui
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/shortcut.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/shortcut.java|class:ohi.andre.consolelauncher.commands.main.raw.shortcut
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/shortcut.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TUI-ConsoleLauncher/app/src/main/java/ohi/andre/consolelauncher/commands/main/raw/shortcut.java|class:ohi.andre.consolelauncher.commands.main.raw.shortcut
