Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/OrientationButtonOverlay.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/OrientationButtonOverlay.java|class:com.gabm.tapandturn.ui.OrientationButtonOverlay
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/OrientationButtonOverlay.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/OrientationButtonOverlay.java|class:com.gabm.tapandturn.ui.OrientationButtonOverlay
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/OrientationButtonOverlay.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/OrientationButtonOverlay.java|class:com.gabm.tapandturn.ui.OrientationButtonOverlay
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java|class:com.gabm.tapandturn.ui.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java|class:com.gabm.tapandturn.ui.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java|class:com.gabm.tapandturn.ui.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java|class:com.gabm.tapandturn.ui.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/MainActivity.java|class:com.gabm.tapandturn.ui.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/Circle.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/Circle.java|class:com.gabm.tapandturn.ui.Circle
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/Circle.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TapAndTurn/app/src/main/java/com/gabm/tapandturn/ui/Circle.java|class:com.gabm.tapandturn.ui.Circle
