Issue;Tool;Project;File;Location
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerCrypt.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerCrypt.java|class:com.rareventure.gps2.GpsTrailerCrypt
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerCrypt.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerCrypt.java|class:com.rareventure.gps2.GpsTrailerCrypt
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerManager.java|class:com.rareventure.gps2.GpsTrailerManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerManager.java|class:com.rareventure.gps2.GpsTrailerManager
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGPreferenceActivity.java|class:com.rareventure.gps2.GTGPreferenceActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGPreferenceActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGPreferenceActivity.java|class:com.rareventure.gps2.GTGPreferenceActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGListActivity.java|class:com.rareventure.gps2.GTGListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTGListActivity.java|class:com.rareventure.gps2.GTGListActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTG.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GTG.java|class:com.rareventure.gps2.GTG
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerDb.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/TinyTravelTracker/app/src/main/java/com/rareventure/gps2/GpsTrailerDb.java|class:com.rareventure.gps2.GpsTrailerDb
